city,state,price,year,manufacturer,make,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,lat,long
quadcities,Illinois,12500,2004.0,jeep,wrangler sport unlimited,good,,gas,86500.0,clean,automatic,,,,,,41.6928,-90.3071
porthuron,Michigan,4300,1951.0,chevrolet,,salvage,6 cylinders,gas,,clean,manual,,rwd,,pickup,red,42.9958,-82.4599
lawrence,Kansas,7500,2009.0,,nissian murano,good,6 cylinders,gas,129000.0,lien,automatic,,fwd,mid-size,SUV,custom,38.551575,-95.321825
monroemi,Ohio,8695,2010.0,dodge,charger,,,gas,88358.0,clean,automatic,2B3CA3CV5AH142068,rwd,full-size,sedan,,41.61285,-83.48078199999999
portland,Oregon,6900,2005.0,subaru,outback 2.5i premium,,,gas,125987.0,clean,automatic,4S4BP61C157345354,4wd,,,,45.4505,-122.8652
charleston,North Carolina,26500,2017.0,harley,custom street glide,excellent,,gas,,rebuilt,manual,,,,,,35.597248,-80.781097
oneonta,New York,4200,2004.0,,caddilac deville,good,8 cylinders,gas,,clean,automatic,1g6kd54y34u124288,,,,brown,42.5414,-75.5274
providence,Rhode Island,13995,2014.0,honda,accord ex coupe,like new,4 cylinders,gas,47100.0,clean,automatic,1HGCT1B71EA005571,fwd,mid-size,coupe,red,41.8274,-71.52
monterey,California,1500,1959.0,chevy,wagon,,,gas,,missing,manual,,,,,,36.4196,-121.3243
stlouis,Missouri,9500,2010.0,chevrolet,pickup,good,8 cylinders,gas,115235.0,clean,automatic,xxxxxxxxx,rwd,,pickup,white,38.7802,-90.6228
tallahassee,Florida,2300,2002.0,nissan,altima,excellent,4 cylinders,gas,,clean,automatic,,fwd,full-size,sedan,green,30.4771,-84.2246
harrisburg,Pennsylvania,5250,2008.0,ford,edge,excellent,6 cylinders,gas,158000.0,clean,automatic,,4wd,mid-size,SUV,red,40.267207,-76.875568
desmoines,Iowa,4995,2009.0,ford,escape,,,gas,,clean,automatic,,,,,,41.4518,-93.0348
portland,Washington,5500,1973.0,chevrolet,,,,gas,,clean,automatic,,,,,,45.651848,-122.48210900000001
asheville,North Carolina,6795,1981.0,ford,f350,excellent,8 cylinders,gas,55000.0,clean,manual,,rwd,,truck,white,35.912836999999996,-82.317656
memphis,Mississippi,13187,2013.0,volkswagen,jetta tdi 4d sedan automatic,,,diesel,28229.0,clean,automatic,3VWLL7AJ3DM277584,fwd,,sedan,silver,34.96236,-89.88795999999999
syracuse,New York,29890,2016.0,ram,1500,excellent,8 cylinders,gas,16963.0,clean,automatic,3C6RR7LT7GG364957,4wd,full-size,pickup,blue,43.154058,-75.930548
grandisland,Nebraska,15995,2014.0,kia,sorento,excellent,6 cylinders,gas,65151.0,clean,automatic,5XYKU4A71EG428435,fwd,full-size,SUV,custom,40.953292,-98.41842199999999
terrehaute,Indiana,12995,2007.0,ram,2500 4wd diesel,good,,diesel,,clean,automatic,,4wd,full-size,truck,white,39.757669,-87.02552
buffalo,New York,1200,2002.0,chevrolet,monte carlo ss,good,,gas,153000.0,clean,automatic,,fwd,full-size,coupe,blue,43.16,-78.6923
fredericksburg,Virginia,12995,2011.0,jeep,wrangler,,,other,133905.0,clean,automatic,1J4AA2D10BL631651,4wd,,SUV,green,38.47238,-77.44845
panamacity,Florida,6390,1996.0,bmw,z3,excellent,,gas,40000.0,clean,manual,,,,,silver,30.1606,-85.6494
olympic,Washington,10500,2002.0,ford,f250,good,,diesel,223291.0,clean,automatic,,4wd,,,,47.001791,-123.48168500000001
smd,Maryland,4500,2002.0,chevrolet,3500,,,gas,,clean,automatic,,,,,,38.4293,-76.7254
pittsburgh,Pennsylvania,2000,1997.0,,Geo tracker,,,gas,130000.0,clean,automatic,,,,,,39.9321,-79.6522
lasvegas,Nevada,4000,2004.0,chevrolet,express 3500,good,8 cylinders,gas,172000.0,clean,automatic,,,,,,36.1511,-115.073329
ocala,Florida,1450,1994.0,jeep,grand cherokee laredo 2wd,,,gas,,clean,automatic,,,,,,29.106276,-82.11525
muskegon,Michigan,7475,2001.0,ford,f-25o lariat,excellent,8 cylinders,gas,106137.0,clean,automatic,1FTNX21L91EB55463,4wd,full-size,pickup,,43.318965000000006,-86.236796
orlando,Florida,79500,2015.0,,Porsche 911,excellent,,gas,8000.0,clean,automatic,,,,,,28.8111,-81.6536
reno,Nevada,9500,1997.0,jeep,wrangler,like new,4 cylinders,gas,19000.0,clean,automatic,,4wd,,,white,39.058966,-119.80011100000002
inlandempire,California,3900,2008.0,nissan,altima 2.5s,good,4 cylinders,gas,141000.0,clean,automatic,,fwd,,sedan,grey,34.0794,-117.4551
easttexas,Texas,15950,2008.0,chevrolet,silverado,,,gas,,clean,automatic,,,,,,32.5178,-94.7303
mobile,Alabama,3200,2007.0,chrysler,pt cruiser,,4 cylinders,gas,176.0,clean,automatic,1,fwd,,,blue,30.6197,-87.8895
phoenix,Arizona,4999,2015.0,mitsubishi,mirage,excellent,3 cylinders,gas,74000.0,clean,automatic,,,,hatchback,white,33.6819,-112.0996
toledo,Ohio,11500,2016.0,nissan,altima,,4 cylinders,gas,46332.0,clean,automatic,1N4AL3AP9GN370066,fwd,,sedan,grey,40.833834,-81.33886700000001
ventura,California,14895,2017.0,mitsubishi,outlander,excellent,other,gas,39468.0,clean,automatic,JA4AD2A35HZ028777,fwd,,SUV,,34.394588,-118.925297
missoula,Montana,700,1991.0,mercury,grand marquis,,,gas,,clean,automatic,,,,,,45.786415000000005,-114.282256
modesto,California,1100,2003.0,dodge,dakota,,,gas,,clean,automatic,,,,,,37.6746,-121.0113
ocala,Florida,1,2018.0,nissan,frontier,excellent,10 cylinders,gas,11961.0,clean,other,1N6AD0ER1JN701776,4wd,full-size,truck,grey,28.466088,-81.396429
vermont,New Hampshire,9995,2014.0,hyundai,accent,like new,4 cylinders,gas,22714.0,clean,automatic,KMHCU4AE5EU614377,fwd,,sedan,silver,43.512392,-71.495774
losangeles,California,1950,2003.0,mitsubishi,lancer,,4 cylinders,gas,164774.0,clean,automatic,,,,,,34.2316,-118.2457
columbus,Ohio,2800,2010.0,chevrolet,aveo,good,4 cylinders,gas,110000.0,clean,automatic,,,mid-size,sedan,black,39.758724,-82.67393299999999
capecod,Massachusetts,28500,1979.0,gmc,vandura 305 cid v8,like new,3 cylinders,gas,30000.0,clean,automatic,,rwd,full-size,van,black,41.704464,-70.063541
nashville,Tennessee,3250,1995.0,lincoln,continental town car,good,8 cylinders,gas,103253.0,clean,automatic,,rwd,full-size,sedan,green,35.540839,-86.69951
easttexas,Texas,3950,2005.0,mercedes-benz,benz c230,good,4 cylinders,gas,143000.0,clean,automatic,,fwd,mid-size,sedan,grey,32.5547,-94.7767
abbotsford,FAILED,41195,2018.0,chevrolet,bolt,,,gas,,clean,automatic,,,,,,49.267689000000004,-123.120911
nh,New Hampshire,6200,2010.0,hyundai,elantra gls 4dr sedan,like new,4 cylinders,gas,34000.0,clean,automatic,,fwd,mid-size,sedan,black,43.0073,-71.4482
pueblo,Colorado,9975,2015.0,subaru,legacy 2.5i premium,,,gas,,clean,automatic,,,,,,38.328221,-104.71977
cleveland,Ohio,8000,1997.0,pontiac,firebird trans am,good,8 cylinders,gas,70000.0,clean,automatic,,rwd,,,black,41.1404,-81.8584
seattle,Washington,42999,2015.0,toyota,sequoia limited awd gas,,,gas,34783.0,clean,automatic,5TDJY5G1XFS118426,4wd,,SUV,black,48.118005,-122.18351299999999
cosprings,Colorado,27598,2015.0,toyota,tacoma,,6 cylinders,gas,86616.0,clean,automatic,5TFLU4EN1FX114280,4wd,,pickup,silver,39.5805,-104.9011
duluth,Minnesota,7500,2004.0,chevrolet,express,,,gas,186384.0,clean,automatic,,,,,,46.70281,-92.309361
swmi,Michigan,1000,2003.0,,Gas Tahoe,excellent,,gas,,clean,automatic,,4wd,,SUV,,43.954147,-83.967648
annapolis,Maryland,7671,2008.0,bmw,328i,,,other,153995.0,clean,automatic,WBAWB33528P134411,,compact,coupe,,39.12596,-76.53584000000001
youngstown,Ohio,17989,1965.0,ford,thunderbird,excellent,,,50108.0,clean,,0000005Y83Z160158,,,,blue,41.030559999999994,-80.72808
monterey,California,5500,2006.0,dodge,charger r/t,,8 cylinders,gas,,clean,automatic,,rwd,,,,36.9102,-121.7569
tampa,Florida,8995,2010.0,mazda,cx-9,excellent,6 cylinders,gas,105528.0,clean,automatic,JM3TB3MA2A0234578,,full-size,SUV,grey,28.066653000000002,-82.459634
austin,Texas,11900,2014.0,nissan,pathfinder sv,like new,6 cylinders,gas,900000.0,clean,automatic,,,full-size,SUV,brown,30.3649,-97.6827
bham,Alabama,6500,2009.0,lexus,is 250,,,gas,,clean,automatic,,,,,,33.4188,-86.7867
abbotsford,FAILED,18990,2010.0,audi,q5 3.2,,,gas,152000.0,clean,automatic,KELLY 6047278476,,,,,49.026576,-122.82921
dallas,Texas,17750,2005.0,ford,f550 bucket lift,excellent,8 cylinders,diesel,234423.0,clean,automatic,,rwd,full-size,truck,white,32.3994,-98.8071
clarksville,Tennessee,3000,1992.0,ford,explorer,,,gas,,clean,manual,,,,,,36.0471,-87.3061
bham,Alabama,17600,2017.0,chevrolet,equinox lt sport,good,,gas,27339.0,clean,other,2GNALCEK4H1568394,fwd,,other,white,33.52,-86.79
jacksonville,Florida,8900,2010.0,volkswagen,cc,excellent,4 cylinders,gas,85970.0,clean,automatic,WVWML7AN9AE505860,fwd,full-size,sedan,silver,30.328941999999998,-81.417677
cosprings,Colorado,16499,2014.0,ford,taurus,like new,6 cylinders,gas,34532.0,clean,automatic,1FAHP2J80EG117578,4wd,full-size,sedan,silver,38.842132,-104.777276
boston,Massachusetts,3500,2001.0,ford,mustang convertible,good,6 cylinders,gas,130000.0,clean,automatic,,rwd,,convertible,green,42.092379,-71.41462
wyoming,Colorado,23999,2011.0,gmc,sierra,,,diesel,214783.0,clean,automatic,1GT121E85BF172348,4wd,,pickup,brown,40.159884999999996,-105.103035
greensboro,North Carolina,15700,2008.0,toyota,tundra 4wd truck,excellent,8 cylinders,gas,,clean,automatic,,4wd,,,,36.238873999999996,-79.979782
chico,California,34000,2007.0,chevrolet,c4500,fair,8 cylinders,diesel,343000.0,clean,automatic,,4wd,full-size,,black,38.8136,-121.2677
eugene,Oregon,3600,1984.0,,GMCGRUMMAN OLSON KURBMASTER C,good,8 cylinders,gas,,clean,manual,,rwd,,other,,44.0873,-123.3671
raleigh,North Carolina,17500,2017.0,toyota,camry,excellent,4 cylinders,gas,47000.0,clean,automatic,4T1BF1FK5HU270525,fwd,full-size,sedan,white,35.9815,-78.5392
bend,Oregon,19650,2013.0,volvo,xc60,,,other,64010.0,clean,automatic,YV4952DL0D2412936,fwd,,wagon,silver,45.61685,-122.693008
providence,Rhode Island,2000,2006.0,,Volo XC90,,5 cylinders,gas,136000.0,clean,automatic,,4wd,,SUV,black,41.8274,-71.52
pullman,Washington,24999,2012.0,chevrolet,avalanche ltz 4x4 gas,,,gas,71647.0,clean,automatic,3GNTKGE78CG290467,4wd,,truck,black,46.234838,-119.12801499999999
springfieldil,Illinois,211,2014.0,nissan,sentra,excellent,4 cylinders,gas,53118.0,clean,automatic,1N4AB7APXEN853265,fwd,compact,sedan,blue,38.584848,-89.985587
tallahassee,Florida,8201,2013.0,nissan,sentra sr,good,,gas,,clean,automatic,,fwd,,sedan,red,29.8135,-82.47200000000001
yakima,Washington,5999,2005.0,ford,mustang,,6 cylinders,gas,149326.0,clean,manual,1ZVFT80N455183406,rwd,,coupe,red,47.293347999999995,-122.21067099999999
dallas,Texas,8488,2011.0,toyota,venza,,,gas,186430.0,clean,automatic,4T3ZA3BB2BU040941,,,,,32.893205,-96.89602099999999
richmondin,Indiana,16997,2015.0,ford,fusion,,,gas,53723.0,clean,,3FA6P0HD6FR221243,fwd,,sedan,,40.04463,-86.46956
daytona,Florida,6990,2005.0,dodge,grand caravan sxt,excellent,6 cylinders,gas,63135.0,clean,automatic,2D4GP44L35R171993,fwd,mid-size,mini-van,custom,28.95311,-81.18594499999999
vancouver,FAILED,7000,2006.0,mini,,,,gas,250000.0,clean,automatic,,,,,,48.429844,-123.36083
valdosta,Florida,19168,2018.0,chevy,impala lt sedan,excellent,,gas,,clean,automatic,,fwd,,sedan,black,29.8135,-82.47200000000001
carbondale,Illinois,286,2010.0,nissan,armada,excellent,8 cylinders,gas,77828.0,clean,automatic,5N1BA0NE9AN612014,4wd,compact,wagon,white,38.584848,-89.985587
mobile,Alabama,22990,2013.0,chevrolet,silverado 1500,,8 cylinders,,115961.0,clean,automatic,3GCPKSE74DG175881,4wd,,pickup,silver,30.381847999999998,-87.68173399999999
austin,Texas,6800,2007.0,honda,cr-v,good,4 cylinders,gas,122440.0,clean,automatic,,fwd,compact,SUV,red,30.1204,-97.7433
northernwi,Wisconsin,7000,2010.0,mini,cooper,excellent,4 cylinders,gas,93200.0,clean,manual,,fwd,compact,convertible,brown,45.9718,-89.8901
boise,Idaho,900,2000.0,jeep,grand cherokee limited 4wd,fair,8 cylinders,gas,190000.0,clean,automatic,,4wd,full-size,SUV,white,43.6627,-116.7
minneapolis,Minnesota,22500,2015.0,lexus,gs 350 awd,like new,6 cylinders,gas,,clean,automatic,,4wd,full-size,,black,44.8756,-93.2553
memphis,Texas,31280,2015.0,lexus,rc 350,,6 cylinders,gas,30233.0,clean,automatic,,rwd,,coupe,black,32.6605,-97.0311
oregoncoast,Oregon,4500,1980.0,dodge,d150,excellent,8 cylinders,gas,,clean,automatic,,rwd,full-size,pickup,green,42.287,-122.928
mobile,Alabama,12976,2017.0,chevrolet,cruze,,4 cylinders,gas,53733.0,clean,automatic,1G1BE5SM9H7156685,fwd,compact,sedan,grey,30.6729,-88.1009
boulder,Colorado,3900,2007.0,chevrolet,cobalt,excellent,4 cylinders,gas,137053.0,clean,automatic,1G1AL55F077254002,fwd,compact,sedan,red,40.157265,-105.10301000000001
bakersfield,California,1,1979.0,chevy,silverado,,,gas,,clean,automatic,,,,,,36.809343,-120.57921599999999
philadelphia,Pennsylvania,2000,2001.0,nissan,pathfinder,,,gas,,clean,automatic,,,,,,40.2166,-75.2565
jackson,Mississippi,10500,1987.0,chevy,monte carlo ss,,,gas,,clean,automatic,,,,,,30.4035,-88.8971
lincoln,Nebraska,13995,2011.0,ford,f150 xlt,excellent,6 cylinders,gas,179551.0,clean,automatic,1FTFW1ET3BKD86048,4wd,full-size,pickup,grey,40.737534000000004,-96.845605
lafayette,Louisiana,3800,2004.0,toyota,matrix,,,gas,,clean,automatic,,,,,,30.1219,-91.9502
denver,Colorado,7700,2004.0,toyota,4runner 4d suv 4x4 v8 limited automatic,,,gas,173250.0,clean,automatic,JTEBT17R940043912,4wd,,SUV,black,39.68,-104.96
raleigh,North Carolina,3200,2008.0,nissan,altima 2.5 4dr sedan,good,4 cylinders,gas,218200.0,clean,automatic,,fwd,,sedan,white,35.8713,-80.0913
corvallis,Oregon,27990,2010.0,toyota,tacoma,,,other,98320.0,clean,automatic,3TMMU4FNXAM023008,,,pickup,white,45.61685,-122.693008
sheboygan,Wisconsin,25499,2016.0,mazda,cx-9,excellent,4 cylinders,gas,32989.0,clean,automatic,JM3TCBEY2G0122861,4wd,mid-size,SUV,,43.75891,-87.75358
daytona,Florida,7000,2004.0,chevrolet,1500,,,gas,,clean,automatic,,,,,,30.666664,-84.90513299999999
grandrapids,Michigan,14975,2012.0,chevrolet,express 2500,good,8 cylinders,gas,94622.0,clean,automatic,1GCWGFCA2C1161848,rwd,full-size,van,white,43.0601,-85.9517
wilmington,North Carolina,17995,2013.0,ford,f-150,,6 cylinders,gas,178312.0,clean,automatic,1FTFW1ET4DFA10731,4wd,,pickup,white,34.239936,-77.90279100000001
eugene,Oregon,6500,2003.0,rover,4.6 hse,excellent,8 cylinders,gas,124000.0,clean,automatic,,4wd,,,black,44.0611,-123.0153
albany,New York,1400,2003.0,chevrolet,monte carlo,fair,6 cylinders,gas,143000.0,clean,automatic,,fwd,,coupe,yellow,42.88,-73.9913
southjersey,New Jersey,7999,2012.0,ford,transit connect,excellent,4 cylinders,gas,145865.0,clean,automatic,NM0LS7BNXCT115410,fwd,full-size,van,white,39.611724,-75.074023
ventura,California,9950,2005.0,lexus,rx330 awd,excellent,6 cylinders,gas,133000.0,clean,automatic,,fwd,full-size,SUV,silver,34.063009,-118.03789499999999
moseslake,Washington,6993,2008.0,kia,amanti,,6 cylinders,gas,46011.0,clean,automatic,KNALD125485158661,fwd,,sedan,black,47.118746,-119.26784199999999
baltimore,Maryland,2600,2007.0,honda,odyssey,excellent,6 cylinders,gas,169745.0,clean,automatic,,,,mini-van,white,39.304471,-76.711805
slo,California,300,1999.0,,1999 Oldsmobile Alero sedan,salvage,4 cylinders,gas,180600.0,salvage,automatic,,fwd,mid-size,sedan,silver,35.6406,-120.7003
grandrapids,Michigan,4900,2004.0,,2004 Navigator,good,8 cylinders,gas,,clean,automatic,,4wd,full-size,SUV,black,43.0141,-85.7543
norfolk,Tennessee,14700,1969.0,pontiac,bonneville,excellent,8 cylinders,gas,80000.0,clean,automatic,262679P137677,rwd,full-size,convertible,yellow,35.9983,-83.0736
springfieldil,Illinois,7000,2007.0,lexus,es 350 4dr sdn,good,6 cylinders,gas,150000.0,clean,automatic,,,,sedan,black,39.8499,-89.2513
columbus,Ohio,2000,2002.0,honda,accord 2-door coupe,excellent,6 cylinders,gas,201000.0,clean,automatic,,fwd,mid-size,coupe,white,39.783412,-82.719424
myrtlebeach,South Carolina,8500,2010.0,chevrolet,silverado 1500,good,8 cylinders,gas,279000.0,clean,automatic,,rwd,full-size,truck,silver,33.8768,-78.6508
boston,Massachusetts,7500,2002.0,,keystone,,,other,,clean,other,,,,,,42.625692,-71.420686
humboldt,California,8000,1996.0,toyota,tacoma,,,gas,,salvage,automatic,,,,,,40.9465,-124.0834
maine,Massachusetts,8500,2006.0,,International,,,diesel,,clean,automatic,,,,,,42.0794,-71.04
desmoines,Iowa,4500,2010.0,pontiac,g6 sedan,good,6 cylinders,gas,,clean,automatic,,,,,,41.5815,-93.4848
worcester,Massachusetts,5995,2004.0,dodge,dakota quad cab,like new,8 cylinders,gas,,clean,automatic,,4wd,mid-size,pickup,blue,42.233646,-71.849682
waterloo,Iowa,10995,2008.0,mercedes-benz,e-class,excellent,6 cylinders,gas,57720.0,clean,automatic,WDBUF87X68B240282,4wd,,sedan,white,42.032203,-91.611698
chattanooga,Tennessee,16598,2013.0,chevrolet,camaro,good,6 cylinders,gas,56703.0,clean,automatic,2G1FB1E32D9155991,rwd,mid-size,coupe,orange,35.01845,-85.204983
atlanta,Georgia,5300,2000.0,chevrolet,tahoe,,,gas,235000.0,clean,automatic,,,,,,33.9496,-83.9942
owensboro,Kentucky,5300,1953.0,mercury,monterey,good,8 cylinders,gas,99999.0,clean,automatic,,rwd,mid-size,coupe,,37.7559,-87.0803
cosprings,Colorado,58550,2017.0,ram,3500,,,diesel,18521.0,clean,automatic,3C63R3EL8HG536300,4wd,,pickup,black,40.624962,-103.219833
memphis,Tennessee,13929,2014.0,volkswagen,passat,excellent,4 cylinders,gas,30997.0,clean,automatic,1VWBS7A31EC108828,fwd,mid-size,sedan,blue,35.18101,-89.89649
memphis,Tennessee,3900,2001.0,ford,f150 4x4,,,gas,,clean,automatic,,,,,,35.0312,-89.8124
medford,Oregon,164997,2017.0,mercedes-benz,s-class,,,gas,3516.0,clean,automatic,WDDXK7JB2HA021302,,,,,45.523907,-122.53824399999999
wilmington,North Carolina,10000,2014.0,mitsubishi,- outlander sport,,,gas,,clean,automatic,,,,,,34.2651,-77.867
santamaria,California,12000,2002.0,ford,f350,good,8 cylinders,diesel,257000.0,clean,automatic,,4wd,,,,34.442706,-119.79101599999998
greenbay,Wisconsin,30000,2015.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,30043.0,clean,automatic,3GCUKREC8FG279270,4wd,mid-size,truck,black,44.4737,-88.06308
stlouis,Missouri,19300,2015.0,mazda,cx-5 grand touring sport,good,,gas,38966.0,clean,other,JM3KE2DY2F0551083,,,other,,38.63,-90.24
tallahassee,Florida,9900,2006.0,ford,f150 4x4 x-cab,like new,8 cylinders,gas,113000.0,clean,automatic,,4wd,full-size,truck,silver,30.4478,-84.3211
cleveland,Ohio,2800,2003.0,nissan,,,,gas,,clean,automatic,,,,,,41.4201,-81.9131
bozeman,Montana,20450,2004.0,ram,3500 slt,like new,6 cylinders,diesel,119000.0,clean,automatic,3D7MU48C54G200133,4wd,full-size,truck,blue,45.769857,-108.54863799999998
neworleans,Louisiana,1500,2006.0,acura,tl,excellent,,gas,,clean,automatic,,fwd,,sedan,black,29.968617,-90.07457
syracuse,New York,1000,1959.0,dodge,d100,fair,6 cylinders,gas,,clean,manual,,rwd,full-size,truck,white,43.270019,-75.837274
sanantonio,Texas,17800,2009.0,ford,f-250 super duty,excellent,8 cylinders,diesel,223.0,clean,automatic,,4wd,full-size,truck,blue,29.433127000000002,-98.55378
cosprings,Colorado,6500,2004.0,chevrolet,avalanche,excellent,8 cylinders,gas,186000.0,clean,automatic,,4wd,full-size,truck,white,38.8152,-104.7703
abbotsford,FAILED,11995,2013.0,kia,rio,excellent,,gas,42264.0,clean,automatic,KNADN4A3XD6246377,fwd,,sedan,,49.089546,-122.649032
southbend,Indiana,7800,2012.0,chevrolet,impala,excellent,,gas,100695.0,clean,automatic,,fwd,,sedan,,41.665197,-86.250116
twinfalls,Idaho,11987,2013.0,ford,focus,good,4 cylinders,gas,58694.0,clean,automatic,1FADP3J2XDL245171,fwd,compact,sedan,black,43.630744,-116.251228
santabarbara,California,1950,2004.0,acura,tl,,6 cylinders,gas,175000.0,salvage,manual,,fwd,,,blue,34.4296,-119.8612
kalamazoo,Michigan,10495,2013.0,ford,escape,good,4 cylinders,gas,122994.0,clean,automatic,1FMCU0J9XDUA92386,fwd,full-size,SUV,black,42.477134,-82.949564
chattanooga,Tennessee,800,1995.0,nissan,maxima se,good,,gas,,clean,automatic,,,,,,35.445115,-84.618817
modesto,California,17999,2014.0,chevrolet,express,,,gas,46003.0,clean,automatic,1GCSGAFX7E1109104,fwd,,van,white,38.6088,-121.40065
lincoln,Nebraska,14488,2013.0,chevrolet,equinox lt auto awd su,,,gas,93456.0,clean,automatic,2GNFLEEK6D6224497,,,,,41.1345,-96.2458
pennstate,Pennsylvania,29893,2014.0,chevrolet,silverado 1500 lt,good,,other,34526.0,clean,other,3GCUKREC9EG522387,,,pickup,black,40.835136999999996,-77.802768
fredericksburg,Virginia,8000,2007.0,audi,a8l,,8 cylinders,gas,,clean,automatic,,4wd,full-size,sedan,blue,38.469806,-77.412244
seattle,Oregon,11991,2012.0,toyota,camry se 4dr sedan,,,gas,79872.0,clean,automatic,4T1BF1FK0CU571213,,,,,45.4505,-122.8652
southjersey,New Jersey,2400,2006.0,,SEDAN 4-DR,,,gas,157000.0,clean,automatic,2G4WC582761136459,,,,,39.9308,-75.0175
brainerd,Minnesota,2000,1987.0,ford,f250,,8 cylinders,gas,112000.0,clean,automatic,,4wd,,,green,46.4446,-93.8849
albany,New York,4000,1999.0,,Tahoe,good,8 cylinders,gas,,clean,automatic,,4wd,full-size,truck,silver,43.0947,-73.503
ashtabula,Ohio,1200,1978.0,chevrolet,coachman,,,gas,,clean,automatic,,,,,,41.536805,-80.86776
sandiego,California,3500,2000.0,toyota,sienna le,excellent,6 cylinders,gas,109000.0,clean,automatic,,fwd,full-size,van,green,32.797867,-117.136871
saginaw,Michigan,4495,2009.0,volkswagen,routan s rse,,,gas,173809.0,clean,automatic,2V8HW44109R542914,,,,,43.186723,-84.163862
fayar,Arkansas,3950,2011.0,chevrolet,malibu,good,4 cylinders,gas,127000.0,rebuilt,automatic,,fwd,mid-size,sedan,white,36.1716,-94.0428
orangecounty,California,2900,2001.0,gmc,1500 yukon,good,8 cylinders,gas,179600.0,clean,automatic,Na,rwd,full-size,SUV,brown,33.771817,-118.1677
staugustine,Florida,7900,2014.0,kia,soul,,,gas,,clean,automatic,,,,,,29.9175,-81.3668
richmond,Virginia,4175,2000.0,ford,explorer,,,gas,112043.0,clean,automatic,1FMZU74E9YZB90829,4wd,,SUV,white,37.401677,-77.43219599999999
charlotte,Georgia,14900,1989.0,jeep,,excellent,4 cylinders,diesel,29000.0,clean,manual,,4wd,,,black,34.9739,-84.4291
raleigh,North Carolina,9500,2006.0,chevrolet,tahoe,,,gas,,clean,automatic,,,,,,36.1288,-79.4114
harrisburg,Pennsylvania,7995,2006.0,chrysler,300c,excellent,8 cylinders,gas,77073.0,clean,automatic,2C3KA63H36H243997,rwd,full-size,sedan,silver,40.198775,-77.151607
siouxfalls,South Dakota,9950,2011.0,subaru,outback,like new,4 cylinders,gas,188000.0,clean,automatic,,4wd,,,,43.083681,-96.774128
norfolk,Virginia,9000,2002.0,,peterbuilt 379,,,diesel,,clean,manual,,,,,,36.8645,-76.3004
southjersey,New Jersey,4900,2005.0,ford,van 150,good,8 cylinders,gas,73000.0,clean,automatic,1FTRE14W25HA07764,rwd,full-size,wagon,white,40.0086,-74.7896
palmsprings,California,3500,1998.0,ford,f150,fair,,gas,,clean,automatic,,,,,,33.9531,-116.5219
hartford,Connecticut,6200,2014.0,lexus,,like new,6 cylinders,gas,,clean,automatic,,,,,,41.8561,-72.6639
nashville,Tennessee,43500,2018.0,gmc,1500 sierra,,,gas,8540.0,lien,automatic,,rwd,,,silver,35.9656,-86.5048
pennstate,Pennsylvania,22890,2014.0,jeep,grand cherokee overland,good,,gas,57688.0,clean,other,1C4RJFCG0EC162300,,,other,blue,40.835136999999996,-77.802768
smd,Maryland,7500,2011.0,toyota,sienna le,,,gas,157637.0,clean,automatic,5TDKK3DC3BS030733,,,,blue,38.4293,-76.7254
jacksonville,Florida,19500,2015.0,hyundai,genesis,excellent,6 cylinders,gas,71775.0,clean,automatic,KMHGN4JE1FU018280,rwd,full-size,sedan,black,30.2933,-81.5092
longisland,New York,18555,2014.0,nissan,pathfinder platinum,like new,6 cylinders,gas,46000.0,clean,automatic,,4wd,full-size,SUV,silver,40.7866,-73.1961
omaha,Nebraska,15000,,,ai Elantra,,4 cylinders,gas,15139.0,,automatic,5NPD84LF2JH288190,fwd,,sedan,,41.18093,-95.927583
corvallis,Oregon,2200,1999.0,ford,econoline cargo van,,,gas,,clean,automatic,,,,,,44.5316,-122.8821
yubasutter,California,6799,2003.0,infiniti,g35 w/leather,,6 cylinders,gas,169341.0,clean,automatic,JNKCV51E83M019977,rwd,,sedan,,39.12357,-121.61091100000002
louisville,Kentucky,3950,2011.0,mitsubishi,galant fe 4dr sedan,excellent,4 cylinders,gas,143000.0,clean,automatic,,fwd,,sedan,,38.0189,-84.9299
waco,Texas,18412,2015.0,chevrolet,equinox,,4 cylinders,gas,42029.0,clean,automatic,2GNALDEK2F6362707,fwd,compact,SUV,black,31.535,-97.1899
philadelphia,Pennsylvania,11000,2008.0,,Fuso,,,gas,,clean,automatic,,,,,,40.0634,-74.999
bellingham,Washington,31999,2015.0,ram,1500 sport 4x4 1/2 ton,,,gas,63988.0,clean,automatic,1C6RR7MT1FS532274,4wd,,truck,grey,47.886507,-122.260131
albany,New York,5999,2008.0,audi,a4 quattro,,,gas,,clean,automatic,,,,,,43.0708,-73.7408
westernmass,Massachusetts,5000,2005.0,nissan,pathfinder se,good,6 cylinders,gas,202000.0,clean,automatic,,4wd,full-size,SUV,grey,42.1245,-72.4464
swmi,Indiana,4500,2015.0,volkswagen,sand rail,,,gas,,clean,other,,,,,,41.677886,-86.043463
nmi,Michigan,1500,1989.0,ford,,good,,gas,,clean,manual,,,,,,44.8449,-85.2943
fayetteville,North Carolina,40000,2012.0,,international 4300 rollback,excellent,8 cylinders,diesel,257000.0,clean,automatic,,rwd,full-size,other,red,34.6902,-79.1834
