city,state,price,year,manufacturer,make,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,lat,long
portland,Oregon,17791,2016.0,subaru,wrx premium awd cvt sedan,,,gas,27877.0,rebuilt,automatic,JF1VA1E64G8829192,,,sedan,red,45.50423,-122.551919
lawton,Oklahoma,16800,2014.0,infiniti,q50,like new,6 cylinders,gas,55735.0,clean,automatic,,rwd,full-size,sedan,grey,35.334,-97.4768
eauclaire,Wisconsin,5495,2006.0,gmc,envoy,good,6 cylinders,gas,173000.0,clean,automatic,,4wd,,,black,45.5197,-91.8266
humboldt,California,33995,2016.0,ram,1500 diesel,like new,6 cylinders,diesel,27100.0,clean,automatic,,4wd,,,silver,40.800144,-124.168079
collegestation,Texas,7000,2001.0,chevrolet,2500 silverado,good,8 cylinders,diesel,304000.0,clean,manual,,4wd,,,white,30.623326000000002,-96.397777
indianapolis,Indiana,9450,2013.0,nissan,maxima,,,gas,,rebuilt,automatic,,,,,,40.4276,-86.8735
bakersfield,California,9995,2010.0,ford,e-series cargo e-250,,,other,130762.0,clean,automatic,1FTNE2EL9ADA43039,rwd,,van,white,34.183005,-118.37031200000001
panamacity,Florida,14987,2013.0,cadillac,cts,,6 cylinders,gas,106779.0,clean,automatic,1G6DK5E3XD0156678,rwd,,sedan,custom,30.1606,-85.6494
semo,Arkansas,23791,2013.0,gmc,sierra 1500,,,other,70956.0,clean,automatic,3GTP1WE01DG229196,,,,black,35.833,-90.6965
corpuschristi,Texas,6994,2004.0,ford,explorer sport trac,,6 cylinders,gas,93105.0,clean,automatic,1FMZU67K34UA62461,rwd,,SUV,green,27.7061,-97.3537
grandrapids,Michigan,129,2010.0,dodge,sprinter,new,,diesel,,clean,manual,,,,,black,43.086191,-86.23469399999999
lakeland,Florida,6300,2012.0,nissan,altima 2.5 sl,excellent,4 cylinders,gas,,clean,automatic,,fwd,,,,28.062865000000002,-81.91011400000001
